ID,Year,Month,Day,USCG,Vessel,Record,Amount,Death,L_Longitude,L_Latitude,D_Longitude,D_Latitude
"79","2005","6","27","Tarpon","Go Fast","Interdiction","33","0","-79.93583004545106","25.52384219621679","-79.65413313738127","23.7175564062856"
"80","2005","6","30","Palm Island","Rustic","Interdiction","12","0","-80.1616696460121","24.31229229798406","0.0","0.0"
"81","2005","7","5","Baleineau","Raft","Interdiction","5","0","-80.24185962413824","25.24598123976225","0.0","0.0"
"82","2005","7","5","Baleineau","Rustic","Interdiction","17","0","-80.07843708296076","25.03134380117221","-79.6559597021436","23.72503328776361"
"83","2005","7","6","Decisive","Go Fast","Interdiction","25","0","-80.57673914767122","24.79698732600216","0.0","0.0"
"84","2005","7","13","No Data","Raft","Landing","5","0","-80.36921508861455","25.13579116570317","-80.09704755716731","24.11501924406734"
"85","2005","7","14","Forthright","Rustic","Interdiction","8","0","-80.38592656362337","24.1259438124938","0.0","0.0"
"86","2005","7","16","No Data","Go Fast","Landing","20","0","-80.91153967552525","24.76342869185029","0.0","0.0"
"87","2005","7","16","No Data","Rustic","Landing","9","5","-80.1367441089884","25.62755989362869","0.0","0.0"
"88","2005","7","17","No Data","Rustic","Landing","21","0","-80.79263281224083","24.81779611569892","0.0","0.0"
"89","2005","7","17","No Data","Rustic","Landing","13","0","-81.41514347382528","24.66036772986702","-80.24021702330406","24.08679382257218"
"90","2005","7","19","Forthright","Raft","Interdiction","5","0","-80.16301649752363","25.3846973703791","-79.65742267184999","23.73044226913693"
"91","2005","7","20","Determined","Rustic","Interdiction","19","0","-79.26714908655224","25.07805235636024","0.0","0.0"
"92","2005","7","21","Bulwark","Rustic","Interdiction","20","0","-79.74742938592445","24.96447689263286","0.0","0.0"
"93","2005","7","22","No Data","Raft","Landing","6","0","-81.33345619695307","24.63914294384333","0.0","0.0"
"94","2005","7","22","Tripoteur","Raft","Interdiction","5","0","-81.08486818373963","24.51313270130314","0.0","0.0"
"95","2005","7","22","Decisive","Rustic","Interdiction","22","0","-80.53433905621999","24.71614272479856","0.0","0.0"
"96","2005","7","24","Bulwark","Rustic","Interdiction","13","0","-80.17286037706103","24.90258894373676","0.0","0.0"
"97","2005","7","28","No Data","Rustic","Landing","11","0","-80.86321945246402","24.76997697832155","-79.89168117744464","23.97874989942011"
"98","2005","7","31","Torchwood","Raft","Interdiction","6","0","-80.24123673166766","24.96921794627473","-79.89796410028188","23.98348333605501"
"99","2005","8","1","Assured","Go Fast","Interdiction","27","0","-80.17774206230243","24.63596661641003","0.0","0.0"
"100","2005","8","1","No Data","Rustic","Landing","10","0","-81.68140268528673","24.55540749210134","0.0","0.0"
"101","2005","8","1","Hurricane","Raft","Interdiction","6","0","-80.61261801835435","24.63014770475772","0.0","0.0"
"102","2005","8","3","No Data","Rustic","Landing","16","0","-81.67576394218061","24.56487718692474","0.0","0.0"
"103","2005","8","6","Stalwart","Go Fast","Interdiction","31","0","-80.19421334134545","25.11711778199681","-80.24021702330406","24.08679382257218"
"104","2005","8","10","Ironwood","Rustic","Interdiction","8","0","-80.1722926249885","24.45986663663223","-79.90129128573923","23.98449869037296"
"105","2005","8","13","No Data","Rustic","Landing","16","0","-81.60978286208902","24.58949287817937","0.0","0.0"
"106","2005","8","13","No Data","Raft","Landing","4","0","-81.4747881852913","24.65878727903324","-79.88872352492575","23.9773964271908"
"107","2005","8","18","Manatee","Rustic","Interdiction","8","0","-80.55478588968045","24.60178742755258","0.0","0.0"
"108","2005","8","19","Forthright","Rustic","Interdiction","10","0","-81.52266606658175","24.42313675863288","0.0","0.0"
"109","2005","8","22","Barracuda","Rustic","Interdiction","14","0","-80.23481710887987","24.31694384678698","0.0","0.0"
"110","2005","8","23","Pompano","Rustic","Interdiction","16","0","-80.59145410174031","24.59213032620445","0.0","0.0"
"111","2005","8","24","Torchwood","Rustic","Interdiction","7","0","-80.20481514287074","25.1600640966938","0.0","0.0"
"112","2005","8","24","No Data","Raft","Landing","4","0","-80.3809852938512","25.11159183939434","0.0","0.0"
"113","2005","8","27","Seagrass","Rustic","Interdiction","20","9","-80.11535652904352","25.18877481692627","0.0","0.0"
"114","2005","8","28","Bulwark","Go Fast","Interdiction","27","0","-80.06275648774188","25.54776679490414","0.0","0.0"
"115","2005","9","3","No Data","Rustic","Landing","14","0","-81.07649908453722","24.69935701713911","0.0","0.0"
"116","2005","9","4","No Data","Go Fast","Landing","17","0","-80.31713265251418","25.22313465950559","-79.89168117744464","23.97874989942011"
"117","2005","9","8","Pompano","Go Fast","Interdiction","31","0","-79.88485778868693","24.18837675338284","0.0","0.0"
"118","2005","9","10","Barracuda","Rustic","Interdiction","13","0","-80.67132453885566","24.7966634749153","0.0","0.0"
"119","2005","9","10","Pompano","Rustic","Interdiction","9","0","-80.31882377913125","24.49771125013539","-80.30497342463124","24.07890526980327"
"120","2005","9","15","No Data","Rustic","Landing","12","2","-80.61425478753814","24.92350660940811","0.0","0.0"
"121","2005","9","29","No Data","Go Fast","Landing","19","0","-81.39888986913478","24.64810186391796","-79.89722712353014","23.97942894037752"
"122","2005","10","6","No Data","Rustic","Landing","12","0","-80.56410176435938","24.95983742818266","0.0","0.0"
"123","2005","10","9","No Data","Go Fast","Landing","24","0","-81.54309150041189","24.61120665372687","0.0","0.0"
"124","2005","10","15","Assured","Go Fast","Interdiction","24","0","-80.17793209304756","24.77401642641224","-80.24391947899237","24.08746331776058"
"125","2005","10","17","No Data","Rustic","Landing","17","0","-80.50098090327624","25.00206606375305","0.0","0.0"
"126","2005","10","17","No Data","Rustic","Landing","9","0","-80.71598567627586","24.86238389796525","0.0","0.0"
"127","2005","10","18","Bulwark","Raft","Interdiction","5","4","-80.0308573397682","25.91860056485313","0.0","0.0"
"128","2005","10","23","No Data","Rustic","Landing","9","8","-80.10086217163654","26.09719144136633","-80.24983840673241","24.08610180390874"
"129","2005","10","24","No Data","Raft","Landing","4","0","-80.67599021785327","24.88272554092934","0.0","0.0"
"130","2005","10","26","No Data","Rustic","Landing","9","0","-80.9541009299721","24.75167494428658","0.0","0.0"
"131","2005","10","28","Stalwart","Rustic","Interdiction","14","0","-79.96219061385217","25.59100784521112","0.0","0.0"
"132","2005","10","30","Assured","Rustic","Interdiction","22","0","-80.14195125829006","25.42303520023024","0.0","0.0"
"133","2005","10","30","No Data","Rustic","Landing","12","0","-81.7904850699645","24.53839007042646","0.0","0.0"
"134","2005","11","2","Palm Island","Rustic","Interdiction","18","0","-80.34574989203045","24.77854052322081","0.0","0.0"
"135","2005","11","3","Assured","Raft","Interdiction","6","3","-80.03107887624853","25.351308629611","0.0","0.0"
"136","2005","11","3","Cunningham","Rustic","Interdiction","5","0","-80.63421598916916","24.73962441767546","0.0","0.0"
"137","2005","11","4","No Data","Go Fast","Landing","23","0","-80.9704595149545","24.74548222740707","-80.30165932157927","24.08567076750918"
"138","2005","11","5","No Data","Rustic","Landing","16","0","-81.10171365463071","24.68458518409885","0.0","0.0"
"139","2005","11","6","No Data","Rustic","Landing","9","0","-80.80448606893137","24.81035667105818","-80.30497342463124","24.07890526980327"
"140","2005","11","7","No Data","Rustic","Landing","9","4","-80.55344545179076","24.96876138177879","0.0","0.0"
"141","2005","11","9","Pompano","Rustic","Interdiction","11","0","-80.21382117750441","24.2503060932743","0.0","0.0"
"142","2005","11","14","Manatee","Rustic","Interdiction","16","0","-79.77401099429692","24.84063768417528","0.0","0.0"
"143","2005","11","22","Determined","Rustic","Interdiction","13","0","-80.06758444306494","24.19323341766726","-79.89722712353014","23.97942894037752"
"144","2005","11","23","Bulwark","Rustic","Interdiction","16","0","-80.43485242579793","24.7592890717093","0.0","0.0"
"145","2005","11","27","Ironwood","Rustic","Interdiction","18","0","-80.41209604497885","24.15448330326366","0.0","0.0"
"146","2005","12","20","No Data","Rustic","Landing","13","0","-80.15412408935988","25.69938895416373","0.0","0.0"
"147","2005","12","23","Decisive","Rustic","Interdiction","11","3","-80.73419127084267","24.76305417639929","0.0","0.0"
"148","2005","12","25","Bulwark","Rustic","Interdiction","8","0","-80.33082947410462","25.05494333455403","-79.66109331968454","23.73855887581537"
"149","2005","12","30","No Data","Rustic","Landing","18","12","-81.01158576174865","24.72843932408975","0.0","0.0"
"150","2005","12","30","No Data","Rustic","Landing","20","9","-80.59518980647766","24.93712475142194","0.0","0.0"
"151","2005","12","31","Relentless","Raft","Interdiction","5","0","-79.98889551679768","25.32260651914425","-79.6559597021436","23.72503328776361"
"152","2006","1","1","Torchwood","Raft","Interdiction","5","4","-79.59094094324436","23.68868866583927","-80.29536619862245","24.08602043115718"
"153","2006","1","1","No Data","Raft","Landing","5","4","-82.07062640170086","26.50780926505413","0.0","0.0"
"154","2006","1","2","Cunningham","Rustic","Interdiction","22","9","-79.93798925751992","24.16561360375091","-80.29536619862245","24.08602043115718"
"155","2006","1","19","Anthony K","Rustic","Interdiction","13","0","-80.65056441863527","24.61791190556847","-80.09704755716731","24.11501924406734"
"156","2006","1","25","Baleineau","Rustic","Interdiction","14","13","-81.38495291687198","25.34304776550554","0.0","0.0"
"157","2006","1","26","Forthright","Rustic","Interdiction","15","0","-80.06039991543794","25.14350299939739","0.0","0.0"
"158","2006","2","6","Manatee","Go Fast","Interdiction","21","0","-80.82243958070265","24.64479309680592","-80.24983840673241","24.08610180390874"
"159","2006","2","7","Determined","Raft","Interdiction","5","0","-79.86862832723918","24.15886810378632","0.0","0.0"
"160","2006","2","12","Stalwart","Rustic","Interdiction","12","0","-79.9440632987811","25.07582788808369","0.0","0.0"
"161","2006","2","13","Tripoteur","Rustic","Interdiction","23","4","-79.8587438206324","24.72481756624432","0.0","0.0"
"162","2006","2","22","Torchwood","Rustic","Interdiction","7","3","-81.56016215730116","24.31990022463606","0.0","0.0"
"163","2006","2","27","Tarpon","Rustic","Interdiction","17","0","-80.00900682762125","25.37014694267061","0.0","0.0"
"164","2006","3","3","Bulwark","Rustic","Interdiction","7","0","-79.87776133392414","24.1505474374853","0.0","0.0"
"165","2006","3","6","Determined","Rustic","Interdiction","10","0","-82.11696731537742","24.93112837082466","0.0","0.0"
"166","2006","3","15","Bonefish","Go Fast","Interdiction","17","0","-80.17378547166452","24.17244169966126","-80.30165932157927","24.08567076750918"
"167","2006","3","16","No Data","Raft","Landing","5","0","-82.91274296750828","24.64795119283962","-79.90129128573923","23.98449869037296"
"168","2006","3","16","No Data","Rustic","Landing","11","0","-80.9375272099942","24.763064168544","0.0","0.0"
"169","2006","3","21","Adamant","Rustic","Interdiction","17","0","-79.65021533640115","23.97697517814924","0.0","0.0"
"170","2006","3","21","Seagrass","Go Fast","Interdiction","24","0","-79.7068524662713","23.91717990534405","0.0","0.0"
"171","2006","3","24","Relentless","Rustic","Interdiction","9","0","-79.8668529362072","24.10887828702832","0.0","0.0"
"172","2006","3","24","Determined","Raft","Interdiction","5","0","-79.54698207494121","23.78018961973349","0.0","0.0"
"173","2006","3","24","No Data","Rustic","Landing","9","0","-81.87411284061352","26.38756175261811","0.0","0.0"
"174","2006","3","25","Bold Reef","Rustic","Interdiction","14","0","-80.12617218808555","24.72455879274146","-80.23429525620114","24.08680387475695"
"175","2006","3","27","Assured","Rustic","Interdiction","21","0","-79.7268779511785","23.9188850198382","0.0","0.0"
"176","2006","3","27","Bulwark","Rustic","Interdiction","12","0","-79.80846551003799","24.12211872906062","0.0","0.0"
"177","2006","3","29","No Data","Raft","Landing","4","0","-81.5789744350811","24.60091016707325","0.0","0.0"
"178","2006","3","30","Hurricane","Rustic","Interdiction","8","0","-81.1337843836347","24.39980862854478","0.0","0.0"
"179","2006","3","30","Stalwart","Raft","Interdiction","5","0","-79.96720503386365","24.18897644273483","0.0","0.0"
"180","2006","3","31","Palm Island","Rustic","Interdiction","19","0","-80.43472968613568","24.90782889582719","0.0","0.0"
"181","2006","3","31","No Data","Rustic","Landing","10","0","-80.73924009551111","24.83905147046223","-80.30497342463124","24.07890526980327"
"182","2006","4","3","Baleineau","Go Fast","Interdiction","30","0","-79.80480027036234","24.13210858767749","0.0","0.0"
"183","2006","4","4","Baleineau","Rustic","Interdiction","10","0","-79.94181653313132","26.63801487830771","-80.29536619862245","24.08602043115718"
"184","2006","4","5","Relentless","Rustic","Interdiction","9","0","-81.0369821420498","24.13445858185244","0.0","0.0"
"185","2006","4","7","Ironwood","Raft","Interdiction","5","0","-80.67963662641937","24.3151854906734","0.0","0.0"
"186","2006","4","7","No Data","Rustic","Landing","9","0","-80.96600642888033","24.74542852252668","0.0","0.0"
"187","2006","4","8","Tripoteur","Rustic","Interdiction","16","0","-81.25816143039208","24.20155691882814","0.0","0.0"
"188","2006","4","8","Ironwood","Rustic","Interdiction","15","0","-80.77710527238247","24.61733101836232","0.0","0.0"
"189","2006","4","11","Anthony K","Rustic","Interdiction","23","0","-80.00557947487651","24.20068909187184","-79.89796410028188","23.98348333605501"
"190","2006","4","14","Baleineau","Raft","Interdiction","4","0","-80.75014712745377","24.32862439602839","0.0","0.0"
"191","2006","4","14","Pompano","Raft","Interdiction","5","0","-80.64172341843987","24.76476586300156","0.0","0.0"
"192","2006","4","15","Barracuda","Rustic","Interdiction","17","0","-80.59607857543995","24.72817526957032","-79.65668944364138","23.72841352754437"
"193","2006","4","15","No Data","Rustic","Landing","13","0","-86.71332784377833","21.20473382939305","0.0","0.0"
"194","2006","4","16","Cunningham","Rustic","Interdiction","20","0","-80.02416157836642","25.47657776549985","0.0","0.0"
"195","2006","4","16","No Data","Rustic","Landing","11","0","-82.04684150875279","26.43626722001713","0.0","0.0"
"196","2006","4","16","Tripoteur","Go Fast","Interdiction","25","0","-81.30837875671196","25.35724003696945","0.0","0.0"
"197","2006","4","18","Assured","Rustic","Interdiction","14","0","-80.4109990899175","24.80721652348497","-80.29536619862245","24.08602043115718"
"198","2006","4","18","Tarpon","Rustic","Interdiction","19","0","-80.16318449362198","24.30601747799252","0.0","0.0"
"199","2006","4","19","Anthony K","Rustic","Interdiction","16","0","-80.07685605617269","24.18241036171786","-79.89796410028188","23.98348333605501"
"200","2006","4","21","Seagrass","Rustic","Interdiction","15","0","-80.19226564725469","24.23086257933884","0.0","0.0"
"201","2006","4","22","No Data","Rustic","Landing","15","0","-81.16227435290526","25.19275050163081","0.0","0.0"
"202","2006","4","23","No Data","Rustic","Landing","13","0","-86.71323540702858","21.20495102115531","-80.29254191038436","24.08332659230911"
"203","2006","4","24","Forthright","Go Fast","Interdiction","30","0","-81.28926249175274","24.28392075432678","0.0","0.0"
"204","2006","4","24","Manatee","Rustic","Interdiction","11","0","-80.14275458737892","24.20913261434637","0.0","0.0"
"205","2006","4","24","No Data","Go Fast","Landing","22","0","-82.11492493414143","26.62030646893874","0.0","0.0"
"206","2006","4","26","Tarpon","Go Fast","Interdiction","26","6","-81.62434334053391","24.32680766485023","0.0","0.0"
"207","2006","4","26","No Data","Rustic","Landing","13","0","-81.41736279583198","24.66417169133732","-79.65742267184999","23.73044226913693"
"208","2006","4","26","No Data","Rustic","Landing","7","0","-86.71077396840357","21.20275434209795","0.0","0.0"
"209","2006","4","27","Seagrass","Rustic","Interdiction","9","0","-80.49398789921969","24.64703033217898","0.0","0.0"
"210","2006","4","29","No Data","Raft","Landing","5","3","-80.41198644618667","25.09542789234523","-79.89796410028188","23.98348333605501"
"211","2006","4","30","Tripoteur","Go Fast","Interdiction","26","0","-80.22717953717407","24.25593295440639","0.0","0.0"
"212","2006","5","2","Pompano","Rustic","Interdiction","14","3","-80.46340558568606","24.31593717258345","0.0","0.0"
"213","2006","5","3","No Data","Rustic","Landing","8","0","-81.33934788298616","24.64384678084305","-80.29254191038436","24.08332659230911"
"214","2006","5","4","No Data","Rustic","Landing","16","0","-86.71124949732074","21.20270044495672","0.0","0.0"
"215","2006","5","6","Pompano","Rustic","Interdiction","6","0","-82.54035669491077","24.35581177608662","0.0","0.0"
"216","2006","5","8","No Data","Raft","Landing","5","0","-86.71370343454477","21.20537507645538","-79.89796410028188","23.98348333605501"
"217","2006","5","8","Varley","Rustic","Interdiction","11","0","-79.92886340913415","25.21353806413593","0.0","0.0"
"218","2006","5","11","No Data","Rustic","Landing","8","0","-82.10589002468261","24.57322396135151","-79.66109331968454","23.73855887581537"
"219","2006","5","11","Torchwood","Rustic","Interdiction","10","0","-79.758911211917","24.25706759216266","0.0","0.0"
"220","2006","5","12","Bonefish","Raft","Interdiction","5","0","-80.5532581829778","24.38259044868156","0.0","0.0"
"221","2006","5","12","Manatee","Rustic","Interdiction","24","0","-80.58885514156545","24.26055575842242","-79.65413313738127","23.7175564062856"
"222","2006","5","13","Determined","Rustic","Interdiction","13","0","-80.31763445456511","24.33002532764242","0.0","0.0"
"223","2006","5","13","No Data","Rustic","Landing","13","0","-80.50194019543599","25.02791893527274","0.0","0.0"
"224","2006","5","16","No Data","Rustic","Landing","12","0","-80.7315394345632","24.85492035460162","-79.89722712353014","23.97942894037752"
"225","2006","5","16","No Data","Rustic","Landing","5","0","-86.71168636686572","21.20279523171665","0.0","0.0"
"226","2006","5","16","Ironwood","Rustic","Interdiction","13","0","-80.67850620117402","23.41354170992387","0.0","0.0"
"227","2006","5","16","No Data","Rustic","Landing","11","0","-82.76790520798367","27.71479870496181","0.0","0.0"
"228","2006","5","17","Adamant","Raft","Interdiction","5","0","-81.87784358308392","24.2687711160243","-79.65999190070923","23.73619147168514"
"229","2006","5","17","No Data","Rustic","Landing","12","0","-86.7107189485117","21.20236121466915","-79.65413313738127","23.7175564062856"
"230","2006","5","18","No Data","Go Fast","Landing","29","13","-82.90918983852394","24.6328806222179","-80.3045971270051","24.07654046124591"
"231","2006","5","18","Assured","Rustic","Interdiction","16","0","-79.6525808864176","23.78219788339996","0.0","0.0"
"232","2006","5","19","Decisive","Rustic","Interdiction","22","0","-81.71687424112224","25.40507892583407","0.0","0.0"
"233","2006","5","20","No Data","Raft","Landing","5","0","-82.13578206324162","26.61073689712287","0.0","0.0"
"234","2006","5","20","Tarpon","Rustic","Interdiction","15","0","-81.21925740121597","24.33499325740125","0.0","0.0"
"235","2006","5","21","Varley","Rustic","Interdiction","14","0","-80.05860254634669","24.2057466712665","0.0","0.0"
"236","2006","5","21","Manatee","Rustic","Interdiction","18","0","-81.50319898597532","24.31423028368505","0.0","0.0"
"237","2006","5","22","No Data","Rustic","Landing","15","0","-86.71333752702581","21.20510171592754","0.0","0.0"
"238","2006","5","22","No Data","Rustic","Landing","13","0","-82.74079854277859","27.67467138452858","0.0","0.0"
